A	Alimentary tract and metabolism
D07AC01	Betamethasone
D07AC02	Fluclorolone
D07AC03	Desoximetasone
D07AC04	Fluocinolone acetonide
D07AC05	Fluocortolone
D07AC06	Diflucortolone
D07AC07	Fludroxycortide
D07AC08	Fluocinonide
D07AC09	Budesonide
D07AC10	Diflorasone
D07AC11	Amcinonide
D07AC12	Halometasone
D07AC13	Mometasone
D07AC14	Methylprednisolone aceponate
D07AC15	Beclometasone
D07AC16	Hydrocortisone aceponate
D07AC17	Fluticasone
D07AC18	Prednicarbate
D07AC19	Difluprednate
D07AC21	Ulobetasol
D07AD	Corticosteroids, very potent (group IV)
D07AD01	Clobetasol
D07AD02	Halcinonide
D07B	Corticosteroids, combinations with antiseptics
D07BA	Corticosteroids, weak, combinations with antiseptics
D07BA01	Prednisolone and antiseptics
D07BA04	Hydrocortisone and antiseptics
D07BB	Corticosteroids, moderately potent, combinations with antiseptics
D07BB01	Flumetasone and antiseptics
D07BB02	Desonide and antiseptics
D07BB03	Triamcinolone and antiseptics
D07BB04	Hydrocortisone butyrate and antiseptics
D07BC	Corticosteroids, potent, combinations with antiseptics
D07BC01	Betamethasone and antiseptics
D07BC02	Fluocinolone acetonide and antiseptics
D07BC03	Fluocortolone and antiseptics
D07BC04	Diflucortolone and antiseptics
D07BD	Corticosteroids, very potent, combinations with antiseptics
D07C	Corticosteroids, combinations with antibiotics
D07CA	Corticosteroids, weak, combinations with antibiotics
D07CA01	Hydrocortisone and antibiotics
D07CA02	Methylprednisolone and antibiotics
D07CA03	Prednisolone and antibiotics
D07CB	Corticosteroids, moderately potent, combinations with antibiotics
D07CB01	Triamcinolone and antibiotics
D07CB02	Fluprednidene and antibiotics
D07CB03	Fluorometholone and antibiotics
D07CB04	Dexamethasone and antibiotics
D07CB05	Flumetasone and antibiotics
D07CC	Corticosteroids, potent, combinations with antibiotics
D07CC01	Betamethasone and antibiotics
D07CC02	Fluocinolone acetonide and antibiotics
D07CC03	Fludroxycortide and antibiotics
D07CC04	Beclometasone and antibiotics
D07CC05	Fluocinonide and antibiotics
D07CC06	Fluocortolone and antibiotics
D07CD	Corticosteroids, very potent, combinations with antibiotics
D07CD01	Clobetasol and antibiotics
D07X	Corticosteroids, other combinations
D07XA	Corticosteroids, weak, other combinations
D07XA01	Hydrocortisone
D07XA02	Prednisolone
D07XB	Corticosteroids, moderatley potent, other combinations
D07XB01	Flumetasone
D07XB02	Triamcinolone
D07XB03	Fluprednidene
D07XB04	Fluorometholone
D07XB05	Dexamethasone
D07XB30	Combinations of corticosteroids
D07XC	Corticosteroids, potent, other combinations
D07XC01	Betamethasone
D07XC02	Desoximetasone
D07XC03	Mometasone
D07XC04	Diflucortolone
D07XD	Corticosteroids, very potent, other combinations
D08	Antiseptics and disinfectants
D08A	Antiseptics and disinfectants
D08AA	Acridine derivatives
D08AA01	Ethacridine lactate
D08AA02	Aminoacridine
D08AA03	Euflavine
D08AB	Aluminium agents
D08AC	Biguanides and amidines
D08AC01	Dibromopropamidine
D08AC02	Chlorhexidine
D08AC03	Propamidine
D08AC04	Hexamidine
D08AC05	Polihexanide
D08AC52	Chlorhexidine, combinations
D08AD	Boric acid products
D08AE	Phenol and derivatives
D08AE01	Hexachlorophene
D08AE02	Policresulen
D08AE03	Phenol
D08AE04	Triclosan
D08AE05	Chloroxylenol
D08AE06	Biphenylol
D08AF	Nitrofuran derivatives
D08AF01	Nitrofural
D08AG	Iodine products
D08AG01	Iodine/octylphenoxypolyglycolether
D08AG02	Povidone-iodine
D08AG03	Iodine
D08AG04	Diiodohydroxypropane
D08AH	Quinoline derivatives
D08AH01	Dequalinium
D08AH02	Chlorquinaldol
D08AH03	Oxyquinoline
D08AH30	Clioquinol
D08AJ	Quaternary ammonium compounds
D08AJ01	Benzalkonium
D08AJ02	Cetrimonium
D08AJ03	Cetylpyridinium
D08AJ04	Cetrimide
D08AJ05	Benzoxonium chloride
D08AJ06	Didecyldimethylammonium chloride
D08AJ57	Octenidine, combinations
D08AJ58	Benzethonium chloride, combinations
D08AK	Mercurial products
D08AK01	Mercuric amidochloride
D08AK02	Phenylmercuric borate
D08AK03	Mercuric chloride
D08AK04	Mercurochrome
D08AK05	Mercury, metallic
D08AK06	Thiomersal
D08AK30	Mercuric iodide
D08AL	Silver compounds
D08AL01	Silver nitrate
D08AL30	Silver
D08AX	Other antiseptics and disinfectants
D08AX01	Hydrogen peroxide
D08AX02	Eosin
D08AX03	Propanol
D08AX04	Tosylchloramide sodium
D08AX05	Isopropanol
D08AX06	Potassium permanganate
D08AX07	Sodium hypochlorite
D08AX08	Ethanol
D08AX53	Propanol, combinations
D09	Medicated dressings
D09A	Medicated dressings
D09AA	Ointment dressings with antiinfectives
D09AA01	Framycetin
D09AA02	Fusidic acid
D09AA03	Nitrofural
D09AA04	Phenylmercuric nitrate
D09AA05	Benzododecinium
D09AA06	Triclosan
D09AA07	Cetylpyridinium
D09AA08	Aluminium chlorohydrate
D09AA09	Povidone-iodine
D09AA10	Clioquinol
D09AA11	Benzalkonium
D09AA12	Chlorhexidine
D09AB	Zinc bandages
D09AB01	Zinc bandage without supplements
D09AB02	Zinc bandage with supplements
D09AX	Soft paraffin dressings
D10	Anti-acne preparations
D10A	Anti-acne preparations for topical use
D10AA	Corticosteroids, combinations for treatment of acne
D10AA01	Fluorometholone
D10AA02	Methylprednisolone
D10AA03	Dexamethasone
D10AB	Preparations containing sulfur
D10AB01	Bithionol
D10AB02	Sulfur
D10AB03	Tioxolone
D10AB05	Mesulfen
D10AD	Retinoids for topical use in acne
D10AD01	Tretinoin
D10AD02	Retinol
D10AD03	Adapalene
D10AD04	Isotretinoin
D10AD05	Motretinide
D10AD51	Tretinoin, combinations
D10AD54	Isotretinoin, combinations
D10AE	Peroxides
D10AE01	Benzoyl peroxide
D10AE51	Benzoyl peroxide, combinations
D10AF	Antiinfectives for tretament of acne
D10AF01	Clindamycin
D10AF02	Erythromycin
D10AF03	Chloramphenicol
D10AF04	Meclocycline
D10AF52	Erythromycin, combinations
D10AX	Other anti-acne preparations for topical use
D10AX01	Aluminium chloride
D10AX02	Resorcinol
D10AX03	Azelaic acid
D10AX04	Aluminium oxide
D10AX30	Various combinations
D10B	Anti-acne preparations for systemic use
D10BA	Retinoids for treatment of acne
D10BA01	Isotretinoin
D10BX	Other anti-acne preparations for systemic use
D10BX01	Ichtasol
D11	Other dermatological preparations
D11A	Other dermatological preparations
D11AA	Antihidrotics
D11AC	Medicated shampoos
D11AC01	Cetrimide
D11AC02	Cadmium compounds
D11AC03	Selenium compounds
D11AC06	Povidone-iodine
D11AC08	Sulphur compounds
D11AC09	Xenysalate
D11AC30	Others
D11AE	Androgens for topical use
D11AE01	Metandienone
D11AF	Wart and anti-corn preparations
D11AX	Other dermatologicals
D11AX01	Minoxidil
D11AX02	Gamolenic acid
D11AX03	Calcium gluconate
D11AX04	Lithium succinate
D11AX05	Magnesium sulfate
D11AX06	Mequinol
D11AX08	Tiratricol
D11AX09	Oxaceprol
D11AX10	Finasteride
D11AX11	Hydroquinone
D11AX12	Pyrithione zinc
D11AX13	Monobenzone
D11AX14	Tacrolimus
D11AX52	Gamolenic acid, combinations
D11AX57	Collagen, combinations
G	Genito urinary system and sex hormones
G01	Gynecological antiinfectives and antiseptics
G01A	Antiinfectives and antiseptics, excl. comb. with corticosteroids
G01AA	Antibiotics
G01AA01	Nystatin
G01AA02	Natamycin
G01AA03	Amphotericin
G01AA04	Candicidin
G01AA05	Chloramphenicol
G01AA06	Hachimycin
G01AA07	Oxytetracycline
G01AA08	Carfecillin
G01AA09	Mepartricin
G01AA10	Clindamycin
G01AA11	Pentamycin
G01AA51	Nystatin, combinations
G01AB	Arsenic compounds
G01AB01	Acetarsol
G01AC	Quinoline derivatives
G01AC01	Diiodohydroxyquinoline
G01AC02	Clioquinol
G01AC03	Chlorquinaldol
G01AC05	Dequalinium
G01AC06	Broxyquinoline
G01AC30	Oxyquinoline
G01AD	Organic acids
G01AD01	Lactic acid
G01AD02	Acetic acid
G01AD03	Ascorbic acid
G01AE	Sulfonamides
G01AE01	Sulfatolamide
G01AE10	Combinations of sulfonamides
G01AF	Imidazole derivatives
G01AF01	Metronidazole
G01AF02	Clotrimazole
G01AF04	Miconazole
G01AF05	Econazole
G01AF06	Ornidazole
G01AF07	Isoconazole
G01AF08	Tioconazole
G01AF11	Ketoconazole
G01AF12	Fenticonazole
G01AF13	Azanidazole
G01AF14	Propenidazole
G01AF15	Butoconazole
G01AF16	Omoconazole
G01AF17	Oxiconazole
G01AF20	Combinations of imidazole derivatives
G01AG	Triazole derivatives
G01AG02	Terconazole
G01AX	Other antiinfectives and antiseptics
G01AX01	Clodantoin
G01AX02	Inosine
G01AX03	Policresulen
G01AX05	Nifuratel
G01AX06	Furazolidone
G01AX09	Methylrosaniline
G01AX11	Povidone-iodine
G01AX12	Ciclopirox
G01AX13	Protiofate
G01AX14	Lactobacillus fermentum
G01AX15	Copper usnate
G01AX16	Octenidine, combinations
G01B	Antiinfectives/antiseptics in combination with corticosteroids
G01BA	Antibiotics and corticosteroids
G01BC	Quinoline derivatives and corticosteroids
G01BD	Antiseptics and corticosteroids
G01BE	Sulfonamides and corticosteroids
G01BF	Imidazole derivatives and corticosteroids
G02	Other gynecologicals
G02A	Oxytocics
G02AB	Ergot alkaloids
G02AB01	Methylergometrine
G02AB02	Ergot alkaloids
G02AB03	Ergometrine
G02AC	Ergot alkaloids and oxytocin incl. derivatives, in combination
G02AC01	Methylergometrine and oxytocin
G02AD	Prostaglandins
G02AD01	Dinoprost
G02AD02	Dinoprostone
G02AD03	Gemeprost
G02AD04	Carboprost
G02AD05	Sulprostone
G02AX	Other oxytocics
G02B	Contraceptives for topical use
G02BA	Intrauterine contraceptives
G02BA01	Plastic IUD
G02BA02	Plastic IUD with copper
G02BA03	Plastic IUD with progesterone
G02BB	Intravaginal contraceptives
G02BB01	Vaginal ring with pregestogen and estrogen
G02C	Other gynecologicals
G02CA	Sympathomimetics, labour repressants
G02CA01	Ritodrine
G02CA02	Buphenine
G02CA03	Fenoterol
G02CB	Prolactine inhibitors
G02CB01	Bromocriptine
G02CB02	Lisuride
G02CB03	Cabergoline
G02CB04	Quinagolide
G02CB05	Metergoline
G02CC	Antiinflammatory products for vaginal administration
G02CC01	Ibuprofen
G02CC02	Naproxen
G02CC03	Benzydamine
G02CC04	Flunoxaprofen
G02CX	Other gynecologicals
G02CX01	Atosiban
G03	Sex hormones and modulators of the genital system
G03A	Hormonal contraceptives for systemic use
G03AA	Progestogens and estrogens, fixed combinations
G03AA01	Etynodiol and estrogen
G03AA02	Quingestanol and estrogen
G03AA03	Lynestrenol and estrogen
G03AA04	Megestrol and estrogen
G03AA05	Norethisterone and estrogen
G03AA06	Norgestrel and estrogen
G03AA07	Levonorgestrel and estrogen
G03AA08	Medroxyprogesterone and estrogen
G03AA09	Desogestrel and estrogen
G03AA10	Gestodene and estrogen
G03AA11	Norgestimate and estrogen
G03AA12	Drospirenone and estrogen
G03AB	Progestogens and estrogens, sequential preparations
G03AB01	Megestrol and estrogen
G03AB02	Lynestrenol and estrogen
G03AB03	Levonorgestrel and estrogen
G03AB04	Norethisterone and estrogen
G03AB05	Desogestrel and estrogen
G03AB06	Gestodene and estrogen
G03AB07	Chlormadinone and estrogen
G03AC	Progestogens
G03AC01	Norethisterone
G03AC02	Lynestrenol
G03AC03	Levonorgestrel
G03AC04	Quingestanol
G03AC05	Megestrol
G03AC06	Medroxyprogesterone
G03AC07	Norgestrienone
G03AC08	Etonogestrel
G03AC09	Desogestrel
G03B	Androgens
G03BA	3-oxoandrosten (4) derivatives
G03BA01	Fluoxymesterone
G03BA02	Methyltestosterone
G03BA03	Testosterone
G03BB	5-androstanon (3) derivatives
G03BB01	Mesterolone
G03BB02	Androstanolone
G03C	Estrogens
G03CA	Natural and semisynthetic estrogens, plain
G03CA01	Ethinylestradiol
G03CA03	Estradiol
G03CA04	Estriol
G03CA06	Chlorotrianisene
G03CA07	Estrone
G03CA09	Promestriene
G03CA53	Estradiol, combinations
G03CA57	Conjugated estrogens
G03CB	Synthetic estrogens, plain
G03CB01	Dienestrol
G03CB02	Diethylstilbestrol
G03CB03	Methallenestril
G03CB04	Moxestrol
G03CC	Estrogens, combinations with other drugs
G03CC02	Dienestrol
G03CC03	Methallenestril
G03CC04	Estrone
G03CC05	Diethylstilbestrol
G03D	Progestogens
G03DA	Pregnen (4) derivatives
G03DA01	Gestonorone
G03DA02	Medroxyprogesterone
G03DA03	Hydroxyprogesterone
G03DA04	Progesterone
G03DB	Pregnadien derivatives
G03DB01	Dydrogesterone
G03DB02	Megestrol
G03DB03	Medrogestone
G03DB04	Nomegestrol
G03DB05	Demegestone
G03DB06	Chlormadinone
G03DB07	Promegestone
G03DC	Estren derivatives
G03DC01	Allylestrenol
G03DC02	Norethisterone
G03DC03	Lynestrenol
G03DC04	Ethisterone
G03DC05	Tibolone
G03DC06	Etynodiol
G03DC31	Methylestrenolone
G03E	Androgens and female sex hormones in combination
G03EA	Androgens and estrogens
G03EA01	Methyltestosterone and estrogen
G03EA02	Testosterone and estrogen
G03EA03	Prasterone and estrogen
G03EB	Androgen, progestogen and estrogen in combination
G03EK	Androgens and female sex hormones in combination with other drugs
G03EK01	Methyltestosterone
G03F	Progestogens and estrogens in combination
G03FA	Progestogens and estrogens, combinations
G03FA01	Norethisterone and estrogen
G03FA02	Hydroxyprogesterone and estrogen
G03FA03	Ethisterone and estrogen
G03FA04	Progesterone and estrogen
G03FA05	Methylnortestosterone and estrogen
G03FA06	Etynodiol and estrogen
G03FA07	Lynestrenol and estrogen
G03FA08	Megestrol and estrogen
G03FA09	Noretynodrel and estrogen
G03FA10	Norgestrel and estrogen
G03FA11	Levonorgestrel and estrogen
G03FA12	Medroxyprogesterone and estrogen
G03FA13	Norgestimate and estrogen
G03FA14	Dydrogesterone and estrogen
G03FA15	Dienogest and estrogen
G03FB	Progestogens and estrogens, sequential preparations
G03FB01	Norgestrel and estrogen
G03FB02	Lynestrenol and estrogen
G03FB03	Chlormadinone and estrogen
G03FB04	Megestrol and estrogen
G03FB05	Norethisterone and estrogen
G03FB06	Medroxyprogesterone and estrogen
G03FB07	Medrogestone and estrogen
G03FB08	Dydrogesterone and estrogen
G03FB09	Levonorgestrel and estrogen
G03FB10	Desogestrel and estrogen
G03FB11	Trimegestone and estrogen
G03G	Gonadotropins and other ovulation stimulants
G03GA	Gonadotropins
G03GA01	Chorionic gonadotrophin
G03GA02	Human menopausal gonadotrophin
G03GA03	Serum gonadotrophin
G03GA04	Urofollitrophin
G03GA05	Follitropin alfa
G03GA06	Follitropin beta
G03GA07	Lutropin alfa
G03GB	Ovulation stimulants, synthetic
G03GB01	Cyclofenil
G03GB02	Clomifene
G03GB03	Epimestrol
G03H	Antiandrogens
G03HA	Antiandrogens, plain preparations
G03HA01	Cyproterone
G03HB	Antiandrogens and estrogens
G03HB01	Cyproterone and estrogen
G03X	Other sex hormones and modulators of the genital system
G03XA	Antigonadotropins and similar agents
G03XA01	Danazol
G03XA02	Gestrinone
G03XB	Antiprogestogens
G03XB01	Mifepristone
G03XC	Selective estrogen receptor modulators
G03XC01	Raloxifene
G04	Urologicals
G04B	Other urologicals, incl. antispasmodics
G04BA	Acidifiers
G04BA01	Ammonium chloride
G04BA03	Calcium chloride
G04BC	Urinary concrement solvents
G04BD	Urinary antispasmodics
G04BD01	Emepronium
G04BD02	Flavoxate
G04BD03	Meladrazine
G04BD04	Oxybutynin
G04BD05	Terodiline
G04BD06	Propiverine
G04BD07	Tolterodine
G04BE	Drugs used in erectile dysfunction
G04BE01	Alprostadil
G04BE02	Papaverine
G04BE03	Sildenafil
G04BE04	Yohimbin
G04BE05	Phentolamine
G04BE06	Moxisylyte
G04BE30	Combinations
G04BE52	Papaverine, combinations
G04BX	Other urologicals
G04BX01	Magnesium hydroxide
G04BX03	Acetohydroxamic acid
G04BX06	Phenazopyridine
G04BX10	Succinimide
G04BX11	Collagen
G04BX12	Phenyl salicylate
G04BX13	Dimethyl sulfoxide
G04C	Drugs used in benign prostatic hypertrophy
G04CA	Alpha-adrenoreceptor antagonists
G04CA01	Alfuzosin
G04CA02	Tamsulosin
G04CA03	Terazosin
G04CB	Testosterone-5-alpha reductase inhibitors
G04CB01	Finasteride
G04CX	Other drugs used in benign prostatic hypertrophy
G04CX01	Pygeum africanum
G04CX02	Serenoa repens
G04CX03	Mepartricin
H	Systemic hormonal preparations, excl. sex hormones and insulins
H01	Pituitary and hypothalamic hormones and analogues
H01A	Anterior pituitary lobe hormones and analogues
H01AA	ACTH
H01AA01	Corticotropin
H01AA02	Tetracosactide
H01AB	Thyrotropin
H01AB01	Thyrotropin
H01AC	Somatropin and analogues
H01AC01	Somatropin
H01AC02	Somatrem
H01AC03	Mecasermin
H01AC04	Sermorelin
H01B	Posterior pituitary lobe hormones
H01BA	Vasopressin and analogues
H01BA01	Vasopressin
H01BA02	Desmopressin
H01BA03	Lypressin
H01BA04	Terlipressin
H01BA05	Ornipressin
H01BA06	Argipressin
H01BB	Oxytocin and analogues
H01BB01	Demoxytocin
H01BB02	Oxytocin
H01BB03	Carbetocin
H01C	Hypothalamic hormones
H01CA	Gonadotropin-releasing hormones
H01CA01	Gonadorelin
H01CA02	Nafarelin
H01CA03	Histrelin
H01CB	Antigrowth hormone
H01CB01	Somatostatin
H01CB02	Octreotide
H01CB03	Lanreotide
H01CC	Anti-gonadotropin-releasing hormones
H01CC01	Ganirelix
H01CC02	Cetrorelix
H02	Corticosteroids for systemic use
H02A	Corticosteroids for systemic use, plain
H02AA	Mineralocorticoids
H02AA01	Aldosterone
H02AA02	Fludrocortisone
H02AA03	Desoxycortone
H02AB	Glucocorticoids
H02AB01	Betamethasone
H02AB02	Dexamethasone
H02AB03	Fluocortolone
H02AB04	Methylprednisolone
H02AB05	Paramethasone
H02AB06	Prednisolone
H02AB07	Prednisone
H02AB08	Triamcinolone
H02AB09	Hydrocortisone
H02AB10	Cortisone
H02AB11	Prednylidene
H02AB12	Rimexolone
H02AB13	Deflazacort
H02AB14	Cloprednol
H02AB15	Meprednisone
H02AB16	Budesonide
H02AB17	Cortivazol
H02B	Corticosteroids for systemic use, combinations
H02BX	Corticosteroids for systemic use, combinations
H02BX01	Methylprednisolone, combinations
H02C	Antiadrenal preparations
H02CA	Anticorticosteroids
H02CA01	Trilostane
H03	Thyroid therapy
H03A	Thyroid preparations
H03AA	Thyroid hormones
H03AA01	Levothyroxine sodium
H03AA02	Liothyronine sodium
H03AA03	Combinations of levothyroxine and liothyronine
H03AA04	Tiratricol
H03AA05	Thyroid gland preparations
H03B	Antithyroid preparations
H03BA	Thiouracils
H03BA01	Methylthiouracil
H03BA02	Propylthiouracil
H03BA03	Benzylthiouracil
H03BB	Sulfur-containing imidazole derivatives
H03BB01	Carbimazole
H03BB02	Thiamazole
H03BB52	Thiamazole, combinations
H03BC	Perchlorates
H03BC01	Potassium perchlorate
H03BX	Other antithyroid preparations
H03BX01	Diiodotyrosine
H03BX02	Dibromotyrosine
H03C	Iodine therapy
H03CA	Iodine therapy
H04	Pancreatic hormones
H04A	Glycogenolytic hormones
H04AA	Glycogenolytic hormones
H04AA01	Glucagon
H05	Calcium homeostasis
H05A	Parathyroid hormones
H05AA	Parathyroid hormones
H05AA01	Parathyroid gland extract
H05B	Anti-parathyroid hormones
H05BA	Calcitonin preparations
H05BA01	Calcitonin (salmon synthetic)
H05BA02	Calcitonin (pork natural)
H05BA03	Calcitonin (human synthetic)
H05BA04	Elcatonin
J	General antiinfectives for systemic use
J01	Antibacterials for systemic use
J01A	Tetracyclines
J01AA	Tetracyclines
J01AA01	Demeclocycline
J01AA02	Doxycycline
J01AA03	Chlortetracycline
J01AA04	Lymecycline
J01AA05	Metacycline
J01AA06	Oxytetracycline
J01AA07	Tetracycline
J01AA08	Minocycline
J01AA09	Rolitetracycline
J01AA10	Penimepicycline
J01AA11	Clomocycline
J01AA20	Combinations of tetracyclines
J01AA56	Oxytetracycline, combinations
J01B	Amphenicols
J01BA	Amphenicols
J01BA01	Chloramphenicol
J01BA02	Thiamphenicol
J01BA52	Thiamphenicol, combinations
J01C	Beta-lactam antibacterials, penicillins
J01CA	Penicillins with extended spectrum
J01CA01	Ampicillin
J01CA02	Pivampicillin
J01CA03	Carbenicillin
J01CA04	Amoxicillin
J01CA05	Carindacillin
J01CA06	Bacampicillin
J01CA07	Epicillin
J01CA08	Pivmecillinam
J01CA09	Azlocillin
J01CA10	Mezlocillin
J01CA11	Mecillinam
J01CA12	Piperacillin
J01CA13	Ticarcillin
J01CA14	Metampicillin
J01CA15	Talampicillin
J01CA16	Sulbenicillin
J01CA17	Temocillin
J01CA18	Hetacillin
J01CA20	Combinations
J01CA51	Ampicillin, combinations
J01CE	Beta-lactamase sensitive penicillins
J01CE01	Benzylpenicillin
J01CE02	Phenoxymethylpenicillin
J01CE03	Propicillin
J01CE04	Azidocillin
J01CE05	Pheneticillin
J01CE06	Penamecillin
J01CE07	Clometocillin
J01CE08	Benzathine benzylpenicillin
J01CE09	Procaine penicillin
J01CE10	Benzathine phenoxymethylpenicillin
J01CE30	Combinations
J01CF	Beta-lactamase resistant penicillins
J01CF01	Dicloxacillin
J01CF02	Cloxacillin
J01CF03	Methicillin
J01CF04	Oxacillin
J01CF05	Flucloxacillin
J01CG	Beta-lactamase inhibitors
J01CG01	Sulbactam
J01CG02	Tazobactam
J01CR	Combinations of penicillins, incl. beta-lactamase inhibitors
J01CR01	Ampicillin and enzyme inhibitor
J01CR02	Amoxicillin and enzyme inhibitor
J01CR03	Ticarcillin and enzyme inhibitor
J01CR04	Sultamicillin
J01CR05	Piperacillin and enzyme inhibitor
J01CR50	Combinations of penicillins
J01D	Other beta-lactam antibacterials
J01DA	Cephalosporins and related substances
J01DA01	Cefalexin
J01DA02	Cefaloridine
J01DA03	Cefalotin
J01DA04	Cefazolin
J01DA05	Cefoxitin
J01DA06	Cefuroxime
J01DA07	Cefamandole
J01DA08	Cefaclor
J01DA09	Cefadroxil
J01DA10	Cefotaxime
J01DA11	Ceftazidime
J01DA12	Cefsulodin
J01DA13	Ceftriaxone
J01DA14	Cefotetan
J01DA15	Cefazedone
J01DA16	Cefmenoxime
J01DA17	Cefonicide
J01DA18	Latamoxef
J01DA19	Cefotiam
J01DA21	Cefatrizine
J01DA22	Ceftizoxime
J01DA23	Cefixime
J01DA24	Cefepime
J01DA25	Cefodizime
J01DA26	Cefetamet
J01DA27	Cefpiramide
J01DA30	Cefapirin
J01DA31	Cefradine
J01DA32	Cefoperazone
J01DA33	Cefpodoxime
J01DA34	Cefacetrile
J01DA35	Cefroxadine
J01DA36	Ceftezole
J01DA37	Cefpirome
J01DA38	Loracarbef
J01DA39	Cefibuten
J01DA40	Cefmetazole
J01DA41	Cefprozil
J01DA42	Cefdinir
J01DA63	Ceftriaxone, combinations
J01DF	Monobactams
J01DF01	Aztreonam
J01DH	Carbapenems
J01DH02	Meropenem
J01DH51	Imipenem and enzyme inhibitor
J01E	Sulfonamides and trimethoprim
J01EA	Trimethoprim and derivatives
J01EA01	Trimethoprim
J01EA02	Brodimoprim
J01EB	Short-acting sulfonamides
J01EB01	Sulfaisodimidine
J01EB02	Sulfamethizole
J01EB03	Sulfadimidine
J01EB04	Sulfapyridine
J01EB05	Sulfafurazole
J01EB06	Sulfanilamide
J01EB07	Sulfathiazole
J01EB08	Sulfathiourea
J01EB20	Combinations
J01EC	Intermediate-acting sulfonamides
J01EC01	Sulfamethoxazole
J01EC02	Sulfadiazine
J01EC03	Sulfamoxole
J01EC20	Combinations
J01ED	Long-acting sulfonamides
J01ED01	Sulfadimethoxine
J01ED02	Sulfalene
J01ED03	Sulfametomidine
J01ED04	Sulfametoxydiazine
J01ED05	Sulfamethoxypyridazine
J01ED06	Sulfaperin
J01ED07	Sulfamerazine
J01ED08	Sulfaphenazole
J01ED09	Sulfamazon
J01ED20	Combinations
J01EE	Combinations of sulfonamides and trimethoprim, incl. derivatives
J01EE01	Sulfamethoxazole and trimethoprim
J01EE02	Sulfadiazine and trimethoprim
J01EE03	Sulfametrole and trimethoprim
J01EE04	Sulfamoxole and trimethoprim
J01EE05	Sulfadimidine and trimethoprim
J01F	Macrolides, lincosamides and streptogramins
J01FA	Macrolides
J01FA01	Erythromycin
J01FA02	Spiramycin
J01FA03	Midecamycin
J01FA05	Oleandomycin
J01FA06	Roxithromycin
J01FA07	Josamycin
J01FA08	Troleandomycin
J01FA09	Clarithromycin
J01FA10	Azithromycin
J01FA11	Miocamycin
J01FA12	Rokitamycin
J01FA13	Dirithromycin
J01FA14	Flurithromycin
J01FF	Lincosamides
J01FF01	Clindamycin
J01FF02	Lincomycin
J01FG	Streptogramins
J01FG01	Pristinamycin
J01FG02	Quinupristin/dalfopristin
J01G	Aminoglycoside antibacterials
J01GA	Streptomycins
J01GA01	Streptomycin
J01GA02	Streptoduocin
J01GB	Other aminoglycosides
J01GB01	Tobramycin
J01GB03	Gentamicin
J01GB04	Kanamycin
J01GB05	Neomycin
J01GB06	Amikacin
J01GB07	Netilmicin
J01GB08	Sisomicin
J01GB09	Dibekacin
J01GB10	Ribostamycin
J01GB11	Isepamicin
J01M	Quinolone antibacterials
J01MA	Fluoroquinolones
J01MA01	Ofloxacin
J01MA02	Ciprofloxacin
J01MA03	Pefloxacin
J01MA04	Enoxacin
J01MA05	Temafloxacin
J01MA06	Norfloxacin
J01MA07	Lomefloxacin
J01MA08	Fleroxacin
J01MA09	Sparfloxacin
J01MA10	Rufloxacin
J01MA11	Grepafloxacin
J01MA12	Levofloxacin
J01MA13	Trovafloxacin
J01MA14	Moxifloxacin
J01MA15	Gemifloxacin
J01MA16	Gatifloxacin
J01MB	Other quinolones
J01MB01	Rosoxacin
J01MB02	Nalidixic acid
J01MB03	Piromidic acid
J01MB04	Pipemidic acid
J01MB05	Oxolinic acid
J01MB06	Cinoxacin
J01MB07	Flumequine
J01R	Combinations of antibacterials
J01RA	Combinations of antibacterials
J01RA01	Penicillins, comb. with other antibacterials
J01RA02	Sulfonamides, comb. with other antibacterials (excl. trimethoprim)
J01RA03	Cefuroxime, comb. with other antibacterials
J01X	Other antibacterials
J01XA	Glycopeptide antibacterials
J01XA01	Vancomycin
J01XA02	Teicoplanin
J01XB	Polymyxins
J01XB01	Colistin
J01XB02	Polymyxin B
J01XC	Steroid antibacterials
J01XC01	Fusidic acid
J01XD	Imidazole derivatives
J01XD01	Metronidazole
J01XD02	Tinidazole
J01XD03	Ornidazole
J01XE	Nitrofuran derivatives
J01XE01	Nitrofurantoin
J01XE02	Nifurtoinol
J01XX	Other antibacterials
J01XX01	Fosfomycin
J01XX02	Xibornol
J01XX03	Clofoctol
J01XX04	Spectinomycin
J01XX05	Methenamine
J01XX06	Mandelic acid
J01XX07	Nitroxoline
J01XX08	Linezolid
J02	Antimycotics for systemic use
J02A	Antimycotics for systemic use
J02AA	Antibiotics
J02AA01	Amphotericin
J02AA02	Hachimycin
J02AB	Imidazole derivatives
J02AB01	Miconazole
J02AB02	Ketoconazole
J02AC	Triazole derivatives
J02AC01	Fluconazole
J02AC02	Itraconazole
J02AX	Other antimycotics for systemic use
J02AX01	Flucytosine
J02AX04	Caspofungin
J04	Antimycobacterials
J04A	Drugs for treatment of tuberculosis
J04AA	Aminosalicylic acid and derivatives
J04AA01	Aminosalicylic acid
J04AA02	Sodium aminosalicylate
J04AA03	Calcium aminosalicylate
J04AB	Antibiotics
J04AB01	Cycloserine
J04AB02	Rifampicin
J04AB03	Rifamycin
J04AB04	Rifabutin
J04AB30	Capreomycin
J04AC	Hydrazides
J04AC01	Isoniazid
J04AC51	Isoniazid, combinations
J04AD	Thiocarbamide derivatives
J04AD01	Protionamide
